# ALPHA = 0.05
# NUMBER_OF_TESTS = 9

# _SET1_  VARIABLE = Endo (set)
# _SET1_  NGENES = 4272
# _SET1_  P-VALUE = 0.00228005
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000176022     1    1167645    1170421      1       1  5737      0.65032       0.2673             0      0.65032
_SET1_   ENSG00000142609     1    1853390    1935276     30       2  5514      -1.8927      0.96836             0      -1.8927
_SET1_   ENSG00000067606     1    1981909    2116834    146       9  5845     -0.88053      0.79681             0     -0.88053
_SET1_   ENSG00000149527     1    2357419    2436969     14       3  5491     -0.39256      0.64329             0     -0.39256
_SET1_   ENSG00000157881     1    2439972    2458067     22       1  5838      -1.0482      0.85028             0      -1.0482
_SET1_   ENSG00000157870     1    2517930    2522908      3       1  6103     -0.84729      0.79116             0     -0.84729
_SET1_   ENSG00000215912     1    2567415    2718282     52       3  5790       1.0697      0.13276             0       1.0697
_SET1_   ENSG00000169598     1    3773831    3801993      6       1  6007      0.95214      0.16334             0      0.95214
_SET1_   ENSG00000198912     1    3805689    3816857     26       3  5759      0.25721      0.39151             0      0.25721
_SET1_   ENSG00000131697     1    5922871    6052533    214      13  5649      -1.0367      0.84034             0      -1.0367
_SET1_   ENSG00000069424     1    6051526    6161253     59       8  5619       1.1543      0.11691             0       1.1543
_SET1_   ENSG00000116254     1    6161853    6240183     45       7  5370      -1.2659      0.89148             0      -1.2659
_SET1_   ENSG00000116251     1    6241329    6269449     18       3  5221      -1.5608      0.94091             0      -1.5608
_SET1_   ENSG00000171680     1    6526152    6580121     33       4  5510      0.71136      0.23607             0      0.71136
_SET1_   ENSG00000162408     1    6581407    6614595     96       2  5551       1.6353     0.051385             0       1.6353
_SET1_   ENSG00000041988     1    6684926    6695646     22       3  5862     -0.88856      0.80202             0     -0.88856
_SET1_   ENSG00000171735     1    6845384    7829766   1126     101  5715      -1.5796      0.93282             0      -1.5796
_SET1_   ENSG00000116288     1    8014351    8045565     29       3  5800      0.24442      0.38757             0      0.24442
_SET1_   ENSG00000162426     1    8377886    8404227     34       4  5826      0.30971      0.36338             0      0.30971
_SET1_   ENSG00000049239     1    9294834    9331396     39       4  5886    -0.075477      0.51445    1.3878e-17    -0.075477
_SET1_   ENSG00000171612     1    9599541    9645237     30       1  5910       1.3046     0.094469             0       1.3046
_SET1_   ENSG00000171608     1    9711790    9789172     27       4  5524     -0.23487      0.57896             0     -0.23487
_SET1_   ENSG00000178585     1    9908334    9970394     21       1  5718       2.4783    0.0065432             0       2.4783
_SET1_   ENSG00000173614     1   10003486   10045559     33       2  5553       1.0894      0.14119             0       1.0894
_SET1_   ENSG00000130939     1   10092890   10241297     35       6  5461      0.26809      0.39342             0      0.26809
_SET1_   ENSG00000054523     1   10270863   10441661    224       5  6053      0.62623      0.24539             0      0.62623
_SET1_   ENSG00000160049     1   10516579   10532583      7       1  6012     0.083435      0.45628    1.3878e-17     0.083435
_SET1_   ENSG00000226849     1   11128528   11133154     12       1  6005      0.92882      0.17019             0      0.92882
_SET1_   ENSG00000198793     1   11166592   11322564     91       2  5848       0.1886      0.41229             0       0.1886
_SET1_   ENSG00000204624     1   11539223   11597641     72       7  5600         1.88     0.028482             0         1.88
_SET1_   ENSG00000132879     1   11714432   11723384      1       1  5174       1.4904      0.06505             0       1.4904
_SET1_   ENSG00000116670     1   11734537   11751707      6       2  5216      0.13944      0.43333             0      0.13944
_SET1_   ENSG00000011021     1   11866153   11903201    182      12  5602     -0.56902      0.71074             0     -0.56902
_SET1_   ENSG00000083444     1   11994262   12035595     62       6  5311     -0.59295      0.71397             0     -0.59295
_SET1_   ENSG00000116691     1   12079523   12092102     16       3  5041     -0.78576      0.77633             0     -0.78576
_SET1_   ENSG00000028137     1   12227060   12269285     20       2  5833    0.0094899      0.48843    8.6736e-18    0.0094899
_SET1_   ENSG00000231606     1   14548386   14549613      1       1  6066     -0.28112       0.5947             0     -0.28112
_SET1_   ENSG00000234593     1   14675450   14718071     10       3  5665  -0.00088815      0.49568    8.6736e-18  -0.00088815
_SET1_   ENSG00000142621     1   15573768   15726779    203      14  5756      0.56206      0.26766             0      0.56206
_SET1_   ENSG00000116786     1   16010827   16061264    104       6  5761      0.28349      0.37904             0      0.28349
