# ALPHA = 0.05
# NUMBER_OF_TESTS = 9

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 4558
# _SET1_  P-VALUE = 0.00500276
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   339451        1     895967     901099     19       4  111999       1.3223     0.038138   -2.2204e-16       1.3223
_SET1_   57801         1     934342     936608     12       3  124465      -1.8735      0.87083   -2.2204e-16      -1.8735
_SET1_   9636          1     948847     949920      5       1  126528      -2.2327      0.96035   -4.4409e-16      -2.2327
_SET1_   375790        1     955503     991499     92      11  126757      -2.3663       0.9329   -4.4409e-16      -2.3663
_SET1_   54991         1    1017198    1051736    110      13  124191      -1.7162      0.79311   -2.2204e-16      -1.7162
_SET1_   6339          1    1215816    1227409     40      13  125320     -0.54467      0.46485   -2.2204e-16     -0.54467
_SET1_   116983        1    1227764    1243304     42       8  124458    -0.032235      0.27105   -2.6368e-16    -0.032235
_SET1_   54973         1    1246965    1260067     20       6  124062    -0.091341      0.27202   -2.6368e-16    -0.091341
_SET1_   80772         1    1260136    1264276     11       2  128965      0.93364     0.088837   -2.2204e-16      0.93364
_SET1_   1855          1    1270658    1284509     40       9  123736      0.32108      0.16741   -2.7756e-16      0.32108
_SET1_   219293        1    1378152    1405538     55      10  121927      0.41227      0.11245   -2.7756e-16      0.41227
_SET1_   339453        1    1470158    1475740      8       3  125589       1.4846     0.011582   -2.2204e-16       1.4846
_SET1_   643988        1    1533388    1535476      2       1  125396     -0.15218      0.32923    -2.498e-16     -0.15218
_SET1_   142678        1    1550795    1565990     37       8  126189       1.4293     0.010488   -2.2204e-16       1.4293
_SET1_   5590          1    1981909    2116834    386      28  127531       1.5862    0.0030214   -2.2204e-16       1.5862
_SET1_   6497          1    2160134    2241652    227      40  128777      0.58109     0.057979   -2.2204e-16      0.58109
_SET1_   79906         1    2251719    2323190    298      34  128212      -0.8465       0.4135   -2.2204e-16      -0.8465
_SET1_   5192          1    2336241    2344010     23       8  128669     0.048152      0.19194   -2.6368e-16     0.048152
_SET1_   9651          1    2407754    2436964     64      13  127526      0.43865     0.088731   -2.7756e-16      0.43865
_SET1_   55229         1    2439975    2458061     40       6  128065      0.58376     0.092933   -2.2204e-16      0.58376
_SET1_   127281        1    2517899    2522908     10       4  127998      0.85822     0.051068   -2.2204e-16      0.85822
_SET1_   127262        1    3541556    3546695     12       4  129426      -1.4518      0.77536   -2.2204e-16      -1.4518
_SET1_   57470         1    3696784    3713068     79      14  128820      0.21145      0.15233    -2.498e-16      0.21145
_SET1_   55966         1    4715105    4843851    630      79  128950      -1.0422      0.45609   -2.2204e-16      -1.0422
_SET1_   26038         1    6161847    6240194    264      28  129155      -1.1242       0.5543   -2.2204e-16      -1.1242
_SET1_   388591        1    6266189    6281359     34       5  129316     -0.14295      0.34608    -2.498e-16     -0.14295
_SET1_   23463         1    6281253    6296044     30       5  125741      -0.7217      0.54637   -2.2204e-16      -0.7217
_SET1_   387509        1    6307406    6321035     35       3  128449      -1.8928      0.89195   -2.2204e-16      -1.8928
_SET1_   11332         1    6324332    6453826    406      24  128131     -0.63815      0.36744   -2.2204e-16     -0.63815
_SET1_   3104          1    6640051    6649340     10       5  120609       2.9347   9.5058e-05   -4.4409e-16       2.9347
_SET1_   148479        1    6673756    6684093     19       4  127012       3.2817   2.2687e-05   -4.4409e-16       3.2817
_SET1_   23261         1    6845384    7829766   2671     200  127129      -1.2332     0.089761   -2.2204e-16      -1.2332
_SET1_   9341          1    7831329    7841492     34       9  129100    -0.096922      0.22812   -2.6368e-16    -0.096922
_SET1_   11315         1    8021714    8045342     50       8  128791     -0.78851       0.4816   -2.2204e-16     -0.78851
_SET1_   54206         1    8071779    8086393     23       5  123742     -0.44782       0.3422   -2.7756e-16     -0.44782
_SET1_   50651         1    8378171    8404227     79      12  128844       4.0983   2.9392e-07             0       4.0983
_SET1_   6518          1    9097005    9131763     94      13  128876      -1.2804      0.66279   -2.2204e-16      -1.2804
_SET1_   199953        1    9648932    9674935     36       6  127133      -1.5489      0.79858   -2.2204e-16      -1.5489
_SET1_   5293          1    9711789    9789172    131      26  127848     -0.34773      0.27997   -2.7756e-16     -0.34773
_SET1_   23095         1   10270606   10441664    525      16  127507      0.30609     0.066576   -2.7756e-16      0.30609
