# ALPHA = 0.05
# NUMBER_OF_TESTS = 9

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 5310
# _SET1_  P-VALUE = 0.00323102
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000187961     1     895967     901095     19       4  111999       1.2502     0.038137    2.2204e-16       1.2502
_SET1_   ENSG00000188290     1     934342     935552      3       1  125700      -2.1954      0.95116    4.4409e-16      -2.1954
_SET1_   ENSG00000187608     1     936518     949921     35       6  124944      -2.5941      0.96902    4.4409e-16      -2.5941
_SET1_   ENSG00000188157     1     955503     991498     92      11  126757      -2.3131       0.9329    4.4409e-16      -2.3131
_SET1_   ENSG00000131591     1    1017198    1051741    110      13  124191      -1.6598      0.79311    2.2204e-16      -1.6598
_SET1_   ENSG00000230415     1    1210603    1215800     23       5  122308      -1.0819      0.70784    2.2204e-16      -1.0819
_SET1_   ENSG00000162572     1    1215816    1227409     40      13  125320     -0.49375      0.46485    2.2204e-16     -0.49375
_SET1_   ENSG00000131584     1    1227756    1244989     42       8  124458     0.007633      0.27105    2.2378e-16     0.007633
_SET1_   ENSG00000127054     1    1246965    1260071     20       6  124062    -0.022783      0.27202    2.2551e-16    -0.022783
_SET1_   ENSG00000224051     1    1260136    1264277     11       2  128965       0.9283     0.088837    2.2204e-16       0.9283
_SET1_   ENSG00000107404     1    1270656    1284730     40       9  123736      0.36515      0.16741    2.2204e-16      0.36515
_SET1_   ENSG00000215915     1    1385069    1405538     41       8  125633      0.59533     0.097646    2.2204e-16      0.59533
_SET1_   ENSG00000205090     1    1470554    1475833      8       3  125589       1.5729     0.011582    2.2204e-16       1.5729
_SET1_   ENSG00000228594     1    1533392    1535476      2       1  125396    -0.089039      0.32923    2.2204e-16    -0.089039
_SET1_   ENSG00000272106     1    1549138    1551175      6       3  125561      0.10502      0.20969    2.2204e-16      0.10502
_SET1_   ENSG00000197530     1    1550795    1565990     37       8  126189       1.5092     0.010488    2.2204e-16       1.5092
_SET1_   ENSG00000067606     1    1981909    2116834    386      28  127531       1.6449    0.0030214    2.2204e-16       1.6449
_SET1_   ENSG00000157933     1    2160134    2241558    227      40  128777      0.61004     0.057979    2.2204e-16      0.61004
_SET1_   ENSG00000116151     1    2252692    2323146    290      33  128157     -0.86853      0.44043    2.2204e-16     -0.86853
_SET1_   ENSG00000157911     1    2335403    2345236     31       9  128484      0.48032       0.1111    2.2204e-16      0.48032
_SET1_   ENSG00000149527     1    2357419    2436969    253      32  127682       5.1694   3.4632e-10             0       5.1694
_SET1_   ENSG00000157881     1    2439972    2458067     40       6  128065      0.62712     0.092933    2.2204e-16      0.62712
_SET1_   ENSG00000157870     1    2517930    2522908     10       4  127998      0.94611     0.051068    2.2204e-16      0.94611
_SET1_   ENSG00000158109     1    3541566    3546691     12       4  129426      -1.3873      0.77536    2.2204e-16      -1.3873
_SET1_   ENSG00000130764     1    3695122    3713068     90      14  128998     0.098425      0.19391    2.2204e-16     0.098425
_SET1_   ENSG00000196581     1    4714792    4852594    667      77  128798     -0.91284      0.37853    2.2204e-16     -0.91284
_SET1_   ENSG00000116254     1    6161853    6240183    264      28  129155      -1.0867       0.5543    2.2204e-16      -1.0867
_SET1_   ENSG00000158286     1    6265535    6281359     36       5  129358      0.13641      0.24938    2.2204e-16      0.13641
_SET1_   ENSG00000116237     1    6281253    6296032     30       5  125741     -0.69045      0.54637    2.2204e-16     -0.69045
_SET1_   ENSG00000158292     1    6307406    6321035     35       3  128449        -1.89      0.89195    2.2204e-16        -1.89
_SET1_   ENSG00000097021     1    6324329    6454451    406      24  128131     -0.60457      0.36744    2.2204e-16     -0.60457
_SET1_   ENSG00000204859     1    6640061    6649340     10       5  120609       3.0299   9.5058e-05    4.4409e-16       3.0299
_SET1_   ENSG00000116273     1    6673745    6684093     19       4  127012       3.3465   2.2687e-05    4.4409e-16       3.3465
_SET1_   ENSG00000171735     1    6845384    7829766   2671     200  127129     -0.98203     0.089761    2.2204e-16     -0.98203
_SET1_   ENSG00000237365     1    7068436    7074339     31       9  127460     -0.14714      0.27166    2.2204e-16     -0.14714
_SET1_   ENSG00000049245     1    7831329    7841492     34       9  129100    -0.021564      0.22812    2.2551e-16    -0.021564
_SET1_   ENSG00000116288     1    8014351    8045565     59       9  128671     -0.76245      0.48676    2.2204e-16     -0.76245
_SET1_   ENSG00000116285     1    8064464    8086368     32       6  123871     -0.31602       0.3134    2.2204e-16     -0.31602
_SET1_   ENSG00000238290     1    8086798    8182762    172      13  128410     -0.14207      0.22053    2.2204e-16     -0.14207
_SET1_   ENSG00000162426     1    8377886    8404227     79      12  128844       4.1569   2.9392e-07             0       4.1569
_SET1_   ENSG00000142583     1    9095166    9148537    167      23  128541      -1.5485      0.73955    2.2204e-16      -1.5485
_SET1_   ENSG00000228526     1    9208070    9258965    104      22  128600     -0.23031      0.25629    2.2204e-16     -0.23031
_SET1_   ENSG00000188807     1    9648980    9674931     36       6  127133      -1.5026      0.79858    2.2204e-16      -1.5026
_SET1_   ENSG00000171608     1    9711790    9789172    131      26  127848      -0.2927      0.27997    2.2204e-16      -0.2927
_SET1_   ENSG00000231789     1    9732484    9747613     38       7  128756     -0.62517      0.45386    2.2204e-16     -0.62517
_SET1_   ENSG00000054523     1   10270863   10441661    524      16  127501      0.37162     0.066518    2.2204e-16      0.37162
_SET1_   ENSG00000284735     1   10441964   10447207     19       5  129155       1.4211     0.017806    2.2204e-16       1.4211
_SET1_   ENSG00000284642     1   10455473   10457489      3       2  119022    0.0094467      0.33937    2.2378e-16    0.0094467
_SET1_   ENSG00000142655     1   10532345   10690815    360      28  127412      -1.5186      0.67158    2.2204e-16      -1.5186
_SET1_   ENSG00000116661     1   11697075   11715842     52      17  125299      -1.0364       0.5994    2.2204e-16      -1.0364
_SET1_   ENSG00000132879     1   11714432   11723384     23       7  130233        1.002     0.051502    2.2204e-16        1.002
_SET1_   ENSG00000116663     1   11724181   11734411     29       8  129171     -0.69841       0.4845    2.2204e-16     -0.69841
_SET1_   ENSG00000083444     1   11994262   12035595    114      12  125658     -0.35608       0.3138    2.2204e-16     -0.35608
