# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
148398       1     859993     879961     48      11  111742     -0.29172   -2.7756e-16     -0.29172
26155        1     879583     894679     52       8  114158       1.0497   -2.2204e-16       1.0497
339451       1     895967     901099     19       4  111999       1.3223   -2.2204e-16       1.3223
84069        1     901872     910488     25      11  120653      -1.0083   -2.2204e-16      -1.0083
84808        1     910579     917473     22       5  125937      -1.4361   -2.2204e-16      -1.4361
57801        1     934342     936608     12       3  124465      -1.8735   -2.2204e-16      -1.8735
9636         1     948847     949920      5       1  126528      -2.2327   -4.4409e-16      -2.2327
375790       1     955503     991499     92      11  126757      -2.3663   -4.4409e-16      -2.3663
401934       1    1007126    1009687      7       3  121074     -0.58102   -2.2204e-16     -0.58102
54991        1    1017198    1051736    110      13  124191      -1.7162   -2.2204e-16      -1.7162
254173       1    1109286    1133315    135      18  127025      -1.1986   -2.2204e-16      -1.1986
8784         1    1138888    1142163     10       2  127116     -0.21394    -2.498e-16     -0.21394
7293         1    1146706    1149703      8       3  126168     -0.50604   -2.2204e-16     -0.50604
51150        1    1152288    1167447     93       6  127872     0.060395   -2.6368e-16     0.060395
126792       1    1167629    1170421      7       2  122074      0.16958    -2.498e-16      0.16958
388581       1    1177826    1182102     13       3  123682      0.42672   -2.7756e-16      0.42672
118424       1    1189292    1209234     48       8  122204     -0.55654   -2.2204e-16     -0.55654
6339         1    1215816    1227409     40      13  125320     -0.54467   -2.2204e-16     -0.54467
116983       1    1227764    1243304     42       8  124458    -0.032235   -2.6368e-16    -0.032235
126789       1    1243962    1247057      5       3  122572     -0.44698   -2.7756e-16     -0.44698
54973        1    1246965    1260067     20       6  124062    -0.091341   -2.6368e-16    -0.091341
80772        1    1260136    1264276     11       2  128965      0.93364   -2.2204e-16      0.93364
83756        1    1266726    1269844      7       3  127578    -0.045905   -2.6368e-16    -0.045905
1855         1    1270658    1284509     40       9  123736      0.32108   -2.7756e-16      0.32108
54587        1    1288071    1297183     27       5  125208      0.26864   -2.7756e-16      0.26864
54998        1    1309110    1310818      7       3  124151        0.561   -2.2204e-16        0.561
81669        1    1321091    1334718     19       8  124290     0.097848   -2.6368e-16     0.097848
55052        1    1337276    1342693     12       5  127606       0.2634   -2.7756e-16       0.2634
441869       1    1353800    1356824      6       2  126411    0.0026961   -2.6281e-16    0.0026961
643965       1    1361508    1363167      7       3  126959     -0.84802   -2.2204e-16     -0.84802
64856        1    1370903    1378262     17       4  126142      0.60349   -2.2204e-16      0.60349
219293       1    1378152    1405538     55      10  121927      0.41227   -2.7756e-16      0.41227
83858        1    1407139    1444852     42      13  122982      0.93393   -2.2204e-16      0.93393
55210        1    1447523    1470067     63      11  121579       1.0949   -2.2204e-16       1.0949
339453       1    1470158    1475740      8       3  125589       1.4846   -2.2204e-16       1.4846
29101        1    1477053    1510262     96      12  124218       1.2111   -2.2204e-16       1.2111
643988       1    1533388    1535476      2       1  125396     -0.15218    -2.498e-16     -0.15218
142678       1    1550795    1565990     37       8  126189       1.4293   -2.2204e-16       1.4293
8510         1    1567060    1570030      2       1  127354    -0.036928   -2.6368e-16    -0.036928
984          1    1571100    1590473     18       3  126686       1.2976   -2.2204e-16       1.2976
728661       1    1591486    1624243     55      12  129019      0.89602   -2.2204e-16      0.89602
728642       1    1633822    1655999     40       3  129914       1.4696   -2.2204e-16       1.4696
9906         1    1656277    1677438     30       7  128233     -0.82252   -2.2204e-16     -0.82252
65220        1    1682671    1711508     69       9  129121      0.13333    -2.498e-16      0.13333
2782         1    1716725    1822552    147      20  127076       0.7581   -2.2204e-16       0.7581
163688       1    1846266    1848733     10       3  130644      0.99277   -2.2204e-16      0.99277
339456       1    1849029    1850740      6       2  130644     0.079272   -2.6368e-16     0.079272
85452        1    1853390    1935276    308      24  129881       2.1689   -4.4409e-16       2.1689
2563         1    1950768    1962192     29       7  126586      0.45811   -2.7756e-16      0.45811
5590         1    1981909    2116834    386      28  127531       1.5862   -2.2204e-16       1.5862
100506504    1    2113250    2115812      4       2  121834       2.4351   -4.4409e-16       2.4351
199990       1    2115899    2144159     50      10  125802       1.8575   -2.2204e-16       1.8575
6497         1    2160134    2241652    227      40  128777      0.58109   -2.2204e-16      0.58109
79906        1    2251719    2323190    298      34  128212      -0.8465   -2.2204e-16      -0.8465
11079        1    2323214    2336883     34      10  129842       1.1875   -2.2204e-16       1.1875
5192         1    2336241    2344010     23       8  128669     0.048152   -2.6368e-16     0.048152
9651         1    2407754    2436964     64      13  127526      0.43865   -2.7756e-16      0.43865
55229        1    2439975    2458061     40       6  128065      0.58376   -2.2204e-16      0.58376
388585       1    2460184    2461684      3       2  126795     -0.33158   -2.7756e-16     -0.33158
8764         1    2487291    2495268     20       5  125698     -0.28426   -2.7756e-16     -0.28426
127281       1    2517899    2522908     10       4  127998      0.85822   -2.2204e-16      0.85822
79258        1    2522078    2564499    148       9  127669       1.0584   -2.2204e-16       1.0584
100287898    1    2572807    2706230     70       9  125639      0.53296   -2.2204e-16      0.53296
140625       1    2938046    2939467      2       1  130644     -0.14011    -2.498e-16     -0.14011
63976        1    2985565    3355185   1376     158  128077        1.246   -2.2204e-16        1.246
27237        1    3371147    3397677     95      12  127580    -0.075671   -2.6368e-16    -0.075671
1953         1    3404506    3528059    502      77  127788      -2.4947   -4.4409e-16      -2.4947
127262       1    3541556    3546695     12       4  129426      -1.4518   -2.2204e-16      -1.4518
49856        1    3547331    3566671     33       9  129534      0.25417   -2.7756e-16      0.25417
7161         1    3569129    3652765    294      48  129667      -1.3626   -2.2204e-16      -1.3626
148870       1    3668965    3688209     65      14  129171     -0.96023   -2.2204e-16     -0.96023
