r.name	seqnames	start	end	width	strand	Length	gencodeID	ensemblID	gene_type	Symbol	EntrezID	exon_gencodeID	exon_libdID	Class	meanExprs	NumTx	gencodeTx	MGI_Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
e4403	chr1	2528745	2529749	1005	-	1005	ENSG00000197921.5	ENSG00000197921	protein_coding	HES5	388585	ENSE00001434113.4	e4403	InGen	0.945292367271505	1	ENST00000378453.3	HES5	-0.65380288979177	-0.469404707417157	-4.21022731600387	9.32666310586791e-05	0.0621574155214431	1.30042821075663
e5822	chr1	6098485	6098574	90	+	90	ENSG00000069424.14	ENSG00000069424	protein_coding	KCNAB2	8514	ENSE00001476230.1	e5822	InGen	11.336045125065	1	ENST00000378092.5	KCNAB2	0.354322897043439	-0.240210415872351	4.1032996254611	0.000133293121821833	0.0692571314310058	0.966448611485866
e6205	chr1	6221898	6222160	263	-	263	ENSG00000116237.15	ENSG00000116237	protein_coding	ICMT	23463	ENSE00001927272.1	e6205	InGen	2.1820188924176	1	ENST00000495791.1	ICMT	0.367364413923705	-0.876512916051232	4.24629519437806	8.26087149417947e-05	0.0591448540411584	1.40803073218916
e7391	chr1	8026158	8026283	126	-	126	ENSG00000116285.12	ENSG00000116285	protein_coding	ERRFI1	54206	ENSE00001862766.1	e7391	InGen	0.896420887203033	1	ENST00000474874.5	ERRFI1	0.706989775006435	-3.54505579229706	3.93487663032253	0.00023195691867427	0.0822687856164934	-0.092470777882423
e7394	chr1	8026158	8026308	151	-	151	ENSG00000116285.12	ENSG00000116285	protein_coding	ERRFI1	54206	ENSE00001181132.6	e7394	InGen	0.75007118664128	1	ENST00000377482.9	ERRFI1	0.710658927205421	-3.54393889739657	3.98593736684328	0.000196315588541527	0.0793458406858956	0.0262922416536924
e7396	chr1	8015308	8015384	77	-	77	ENSG00000116285.12	ENSG00000116285	protein_coding	ERRFI1	54206	ENSE00001151225.1	e7396	InGen	5.32079741368822	1	ENST00000377482.9	ERRFI1	0.410114607842656	-1.38448660883199	3.93352178744513	0.0002329827869963	0.0823290512423496	0.475931990086676
e7397	chr1	8011719	8014396	2678	-	2678	ENSG00000116285.12	ENSG00000116285	protein_coding	ERRFI1	54206	ENSE00001474071.5	e7397	InGen	3.39148142820903	1	ENST00000377482.9	ERRFI1	0.270694402549855	3.1587801687289	3.88350572622922	0.000274066691804381	0.0882732420621969	0.101580514958073
e7399	chr1	8013427	8015384	1958	-	1958	ENSG00000116285.12	ENSG00000116285	protein_coding	ERRFI1	54206	ENSE00001834487.1	e7399	InGen	2.52123720465632	1	ENST00000467067.1	ERRFI1	0.278763578265552	2.26939887429665	3.91723546317653	0.000245661733235863	0.0840601640933271	0.251965750765483
e7400	chr1	8026158	8026296	139	-	139	ENSG00000116285.12	ENSG00000116285	protein_coding	ERRFI1	54206	ENSE00001826459.1	e7400	InGen	0.814825533689448	2	ENST00000469499.5;ENST00000487559.1	ERRFI1	0.710658927205421	-3.54393889739657	3.98593736684328	0.000196315588541527	0.0793458406858956	0.0262922416536924
e7402	chr1	8013739	8014396	658	-	658	ENSG00000116285.12	ENSG00000116285	protein_coding	ERRFI1	54206	ENSE00001810883.1	e7402	InGen	3.90981848447942	1	ENST00000469499.5	ERRFI1	0.291857162853163	1.33310080701778	3.77870905252115	0.000383912386061426	0.0981818964433426	-0.100030787575215
e7405	chr1	8015308	8015400	93	-	93	ENSG00000116285.12	ENSG00000116285	protein_coding	ERRFI1	54206	ENSE00001844593.1	e7405	InGen	4.54128040526883	1	ENST00000487559.1	ERRFI1	0.422615995210677	-1.34151424688342	4.11353150103162	0.000128838102313795	0.0681716707999594	0.994972873133836
e7406	chr1	8014040	8014396	357	-	357	ENSG00000116285.12	ENSG00000116285	protein_coding	ERRFI1	54206	ENSE00001886131.1	e7406	InGen	4.01300602457062	1	ENST00000487559.1	ERRFI1	0.323661368029992	0.485767910217077	4.15087755006912	0.000113767986535301	0.0659576839010759	1.08192383636052
e7787	chr1	9148011	9151835	3825	-	3825	ENSG00000228526.5	ENSG00000228526	lincRNA	MIR34A	407040	ENSE00003790229.1	e7787	InGen	0.243972375908143	1	ENST00000635687.1	MIR34A	0.566907345448101	-0.326026101755263	4.24988068014608	8.16162136440265e-05	0.0585603342668605	1.41744276400685
e7790	chr1	9181839	9182295	457	-	457	ENSG00000228526.5	ENSG00000228526	lincRNA	MIR34A	407040	ENSE00003791526.1	e7790	InGen	0.427406913578752	1	ENST00000635405.1	MIR34A	0.532652356053689	-2.6092107027408	3.78132385662147	0.00038071810954616	0.0978119576471055	-0.134217802405861
e10654	chr1	14180435	14180592	158	+	158	ENSG00000189337.16	ENSG00000189337	protein_coding	KAZN	23254	ENSE00003793830.1	e10654	InGen	3.12798206306376	2	ENST00000636564.1;ENST00000636203.1	KAZN	0.322414413282968	-1.13885181133304	4.00978761299868	0.000181536726715075	0.0770655896036464	0.701676215406995
e11583	chr1	16005919	16008807	2889	+	2889	ENSG00000183888.4	ENSG00000183888	protein_coding	C1orf64	149563	ENSE00001294049.3	e11583	InGen	0.5801101376852	1	ENST00000329454.2	C1orf64	0.607754922244205	0.489439740041078	5.23899758874896	2.52420802001901e-06	0.024324496473994	4.61347100882821
e11780	chr1	16148378	16149047	670	-	670	ENSG00000142627.12	ENSG00000142627	protein_coding	EPHA2	1969	ENSE00003546123.1	e11780	InGen	0.548646610504695	2	ENST00000358432.7;ENST00000461614.1	EPHA2	0.773064605773818	-1.79468101439939	4.02773359406842	0.000171130482804561	0.0750927188617172	0.694103550612404
e14012	chr1	19904267	19904398	132	+	132	ENSG00000169914.5	ENSG00000169914	protein_coding	OTUD3	23252	ENSE00001465814.1	e14012	InGen	4.23784431637599	1	ENST00000375120.3	OTUD3	0.314063580942854	-0.886212636374008	4.16110521741535	0.000109948006595405	0.0651588515083863	1.15243791836516
e15827	chr1	22100613	22101360	748	+	748	ENSG00000271840.1	ENSG00000271840	lincRNA	RP1-224A6.9	NA	ENSE00003697934.1	e15827	InGen	0.384734930196206	1	ENST00000606754.1	RP1-224A6.9	0.423651267847931	-1.86644443515783	4.66921822393344	1.93036923815653e-05	0.0390879414164104	2.50700712804907
e16114	chr1	23087798	23088058	261	-	261	ENSG00000240553.1	ENSG00000240553	antisense	RP1-184J9.2	NA	ENSE00001776051.1	e16114	InGen	4.61530106636025	1	ENST00000427154.1	RP1-184J9.2	0.368609334828364	0.15344671503425	5.15012831046928	3.48350004758161e-06	0.0289635716929176	4.311401533296
e16119	chr1	23109022	23109127	106	-	106	ENSG00000169641.13	ENSG00000169641	protein_coding	LUZP1	7798	ENSE00001272018.5	e16119	InGen	9.80342102007809	4	ENST00000418342.5;ENST00000302291.8;ENST00000471849.5;ENST00000475164.2	LUZP1	0.336990069820323	-0.0514848711066794	4.41856359392252	4.59973591659143e-05	0.0478866780527341	1.93471756069733
e16120	chr1	23091190	23094380	3191	-	3191	ENSG00000169641.13	ENSG00000169641	protein_coding	LUZP1	7798	ENSE00001272104.4	e16120	InGen	6.94474032173063	3	ENST00000418342.5;ENST00000302291.8;ENST00000314174.5	LUZP1	0.29507575628894	4.365946830261	5.25611822534885	2.37190338074891e-06	0.0241422405633602	4.57090428679449
e16121	chr1	23084023	23089053	5031	-	5031	ENSG00000169641.13	ENSG00000169641	protein_coding	LUZP1	7798	ENSE00001272075.8	e16121	InGen	4.52569683758833	1	ENST00000418342.5	LUZP1	0.322869698064611	4.41566577577825	5.25109036128129	2.41566656524309e-06	0.0241422405633602	4.55177905699358
e16126	chr1	23084030	23089053	5024	-	5024	ENSG00000169641.13	ENSG00000169641	protein_coding	LUZP1	7798	ENSE00001464032.1	e16126	InGen	4.53079336981052	1	ENST00000302291.8	LUZP1	0.322664383700698	4.41530815177909	5.24860591696299	2.43758423862282e-06	0.0241422405633602	4.54312014566068
e16133	chr1	23093443	23094380	938	-	938	ENSG00000169641.13	ENSG00000169641	protein_coding	LUZP1	7798	ENSE00001921324.1	e16133	InGen	7.15920192580969	1	ENST00000471849.5	LUZP1	0.32298059923386	2.64707670923362	5.93535377823363	1.9308490332609e-07	0.0150661267045006	7.01603617423207
e16137	chr1	23094155	23094380	226	-	226	ENSG00000169641.13	ENSG00000169641	protein_coding	LUZP1	7798	ENSE00002131875.1	e16137	InGen	5.32852193264304	1	ENST00000475164.2	LUZP1	0.388741287462969	0.0858508445240971	5.06566913472275	4.72396425736664e-06	0.0289635716929176	4.02941147324667
