seqnames	start	end	width	strand	Length	gencodeID	ensemblID	gene_type	Symbol	EntrezID	Class	meanExprs	NumTx	gencodeTx	MGI_Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000197921.5	chr1	2528745	2530245	1501	-	1306	ENSG00000197921.5	ENSG00000197921	protein_coding	HES5	388585	InGen	2.76305296919443	1	ENST00000378453.3	HES5	-0.644316020970115	1.46023695230133	-4.04393358696563	0.000191806916268198	0.0911623406765424	0.658375147967648
ENSG00000228526.5	chr1	9148011	9196983	48973	-	4571	ENSG00000228526.5	ENSG00000228526	lincRNA	MIR34A	407040	InGen	0.720466931532196	4	ENST00000635687.1;ENST00000385130.1;ENST00000635405.1;ENST00000437157.3	MIR34A	0.540504256869904	1.50162887375172	4.00008534308689	0.000220334361803912	0.0911623406765424	0.531688239309808
ENSG00000183888.4	chr1	16004236	16008807	4572	+	3039	ENSG00000183888.4	ENSG00000183888	protein_coding	C1orf64	149563	InGen	1.60604803336518	1	ENST00000329454.2	C1orf64	0.537175922788	2.05174595324899	4.64486086228522	2.71706330393928e-05	0.0571971482739977	2.41021355882779
ENSG00000271840.1	chr1	22100613	22101360	748	+	748	ENSG00000271840.1	ENSG00000271840	lincRNA	RP1-224A6.9	NA	InGen	1.04627725813594	1	ENST00000606754.1	RP1-224A6.9	0.45044002809484	-0.412621489942873	4.79853901687265	1.62572019112241e-05	0.0571971482739977	2.09615757596931
ENSG00000169641.13	chr1	23084023	23177808	93786	-	9658	ENSG00000169641.13	ENSG00000169641	protein_coding	LUZP1	7798	InGen	12.6377269216896	5	ENST00000418342.5;ENST00000302291.8;ENST00000314174.5;ENST00000471849.5;ENST00000475164.2	LUZP1	0.265352489012667	6.82842801549399	4.39660370233444	6.16107371186112e-05	0.0571971482739977	1.5516333675393
ENSG00000186603.5	chr1	45326905	45328533	1629	+	1629	ENSG00000186603.5	ENSG00000186603	protein_coding	HPDL	84842	InGen	0.82679218406798	1	ENST00000334815.4	HPDL	-0.642412957657601	0.281622192766067	-4.1555835078028	0.000134394479673064	0.0873794508411497	0.743543182891921
ENSG00000131781.12	chr1	147175351	147243050	67700	-	5986	ENSG00000131781.12	ENSG00000131781	protein_coding	FMO5	2330	InGen	0.583537553177481	9	ENST00000527849.5;ENST00000441068.6;ENST00000578284.5;ENST00000254090.8;ENST00000369272.7;ENST00000619062.1;ENST00000533174.5;ENST00000533848.2;ENST00000478432.1	FMO5	0.414307945845871	1.67869602087124	4.44429337957683	5.27046029175393e-05	0.0571971482739977	1.7854737859185
ENSG00000279838.1	chr1	185292384	185294372	1989	-	1989	ENSG00000279838.1	ENSG00000279838	TEC	RP4-635A23.6	NA	InGen	0.526135072704446	1	ENST00000623474.1	RP4-635A23.6	0.477214612731882	-0.0416356749182859	4.02691005809568	0.00020242964103009	0.0911623406765424	0.319540938101802
ENSG00000153250.18	chr2	160272151	160493794	221644	-	11765	ENSG00000153250.18	ENSG00000153250	protein_coding	RBMS1	5937	InGen	2.24080385062451	16	ENST00000474820.5;ENST00000348849.7;ENST00000392753.7;ENST00000474147.5;ENST00000409075.5;ENST00000409289.6;ENST00000475103.5;ENST00000490637.5;ENST00000409972.5;ENST00000477965.1;ENST00000464200.1;ENST00000491781.5;ENST00000492283.1;ENST00000428519.1;ENST00000477486.1;ENST00000585005.1	RBMS1	0.256591484135904	4.69291040611718	4.6138309501647	3.01215111683776e-05	0.0571971482739977	2.28976768969747
ENSG00000163492.14	chr2	178830269	179050086	219818	-	12649	ENSG00000163492.14	ENSG00000163492	protein_coding	CCDC141	285025	InGen	0.599564485978303	7	ENST00000472828.1;ENST00000480419.1;ENST00000343876.6;ENST00000443758.5;ENST00000446116.5;ENST00000409284.1;ENST00000498142.1	CCDC141	-0.780715700871448	2.74590292607176	-5.1985237808438	4.18521930275955e-06	0.0317462834845321	4.15088243015434
ENSG00000233611.3	chr2	236167447	236294927	127481	+	1115	ENSG00000233611.3	ENSG00000233611	antisense	AC079135.1	NA	InGen	0.691783337383594	2	ENST00000415226.1;ENST00000483218.1	AC079135.1	-0.720491943250861	-0.695401394850135	-4.36499906092373	6.83056399405044e-05	0.0571971482739977	0.963591486556076
